Pathway,ACH-000708,ACH-000421,ACH-000999,ACH-000552,ACH-000798,ACH-000501,ACH-000998,ACH-001456,ACH-000971,ACH-001454,ACH-000926,ACH-000991,ACH-002024,ACH-000009,ACH-000491,ACH-000963,ACH-000342,ACH-000360,ACH-002665,ACH-000249,ACH-000943,ACH-000722,ACH-002886,ACH-002654,ACH-002664,ACH-000842,ACH-000969,ACH-000997,ACH-002662,ACH-000989,ACH-000982,ACH-001459,ACH-000467,ACH-000565,ACH-000710,ACH-002539,ACH-001461,ACH-000651,ACH-000381,ACH-000403,ACH-000400,ACH-002532,ACH-000296,ACH-000236,ACH-000286,ACH-002025,ACH-001345,ACH-000538,ACH-000955,ACH-001061,ACH-000895,ACH-000683,ACH-000412,ACH-000680,ACH-001786,ACH-000253,ACH-000470,ACH-000958,ACH-000089,ACH-002932,ACH-002667,ACH-000252,ACH-000007,ACH-000489,ACH-002660,ACH-000986,ACH-000985,ACH-001399,ACH-000350,ACH-001458,ACH-000970,ACH-002543,ACH-000003,ACH-002659,ACH-000950,ACH-000959,ACH-000820,ACH-000967,ACH-002538,ACH-000957,ACH-002535,ACH-000935,ACH-001460,ACH-000202,ACH-000532,ACH-002669
HALLMARK_ADIPOGENESIS,0.2891300345620314,-0.15685808896469502,0.1699494916013768,-0.0472425506257039,0.29867163634526495,-0.4239435138978327,0.28588096546774777,-0.028574373581701923,-0.11813372284955831,-0.039637080634488536,0.22482984562667352,-0.0971066494759224,-0.201803756701336,0.07532044883379502,-0.14549187534412067,-0.023685603886216655,-0.044154457989626916,-0.25071011945003335,-0.05833701829949475,-0.04542997981082675,-0.36625498469533174,0.24766607842331168,-0.025016750247250724,0.09394700652553467,-0.025310266126040926,-0.16315182695091895,-0.24263298155608498,0.042985319716485004,0.2757268463951996,-0.1996834706428284,0.27244969560222426,0.04476669483045567,-0.1269228619939276,-0.27275385269499786,-0.19275489103216525,0.2337136631065575,0.06787391125052791,-0.22317121132901357,-0.03093160971075201,-0.3235725600685283,-0.0442530225703309,0.031189719916145164,-0.26065986658349904,-0.23810038029083713,-0.09135256225183819,-0.11947072342273879,0.3987575442804151,-0.30244686901682016,-0.12847698855232204,0.25737198205881673,0.10794747911832328,-0.21099269262378273,-0.26642175128088097,0.09447655858030851,0.1592505415037747,-0.13642082649320109,0.09478789449216546,-0.2573717987039808,0.3005976420498092,0.28896519094188156,0.15325927872084105,-0.03629657076435916,0.034139558874027864,-0.2806369931808156,-0.09740431109938938,0.2812253483983246,-0.2258024854615096,-0.17866995110377273,-0.3089976472226251,0.17242219791947866,-0.27049399185407,0.11694457383842033,0.013928409213605553,0.005595820225610587,0.01899005129113701,0.3073297848626779,0.22458584303352908,-0.0486716516850606,-0.18735390403827695,0.15508342960955246,-0.0498394396188237,-0.02217660526018242,0.30702974278328493,-0.1230050037365063,0.13341762840349652,-0.12461887041442699
HALLMARK_ALLOGRAFT_REJECTION,-0.18174957789820256,0.10554296056365381,-0.15734893292506583,-0.23882277503352953,0.3536925165831427,0.301756435441202,-0.023352494566059034,0.19736879818546343,-0.24351598047483397,-0.014807263364102652,-0.10877323825670138,-0.10651987968374602,-0.2095763265224191,-0.21316846019310812,-0.30576041741226917,-0.2795823537945286,0.12225957493554485,-0.011706735377928212,-0.3009446583365859,0.011366080794922462,-0.061184530932387654,-0.15757074681967803,-0.08219437327831683,0.19364996036289972,-0.10287998877494206,0.28329392561164796,-0.09384258138927479,-0.2962507856763358,0.030016946052230736,-0.32008664226855105,-0.3336966778897456,0.05471636453534853,0.11150452039779901,0.2591800484752399,-0.17393303115683176,0.09278056799364726,0.19646677545028934,-0.24983577794850165,0.20781237895155935,0.14212507445753625,-0.003313157472243866,0.22737253395336188,-0.05224886187873806,0.060537433853709965,0.22042787976910072,0.3105182556012374,-0.1530716035231383,-0.3129662012448545,-0.09118857549300965,0.10110614599845474,0.019889730042411263,-0.07380295610015836,0.3479444239131845,-0.3318448222113752,0.13412238748175442,-0.11884866252172122,0.28112890241584415,0.09408387222397435,0.039961091643207436,0.2668158419940178,-0.011101906075278695,0.05808008674928472,-0.06715651828997102,0.36931035183568656,0.2549135655349377,0.06102630850742674,-0.22633496155010455,0.105888707309309,-0.26091222982311985,0.11323036124056088,0.14082855377906278,-0.17718408209442021,0.1349174773298729,-0.07413092024514517,-0.03383599320869013,-0.1492522894467415,0.1718453936577652,-0.15946786188191345,0.09004831321242995,-0.25011031137362605,0.23311535730146338,0.1485569119960084,0.31890328515426686,-0.226378122998455,0.25853107845296935,0.3623715959629347
HALLMARK_ANDROGEN_RESPONSE,-0.05612442720100724,-0.10783054807853984,-0.15218677981569964,0.060806366822066193,0.31997080629806357,-0.04921426441203819,-0.008672868812954926,-0.20902978971416333,0.038316337909010845,0.06030386424201967,0.08447117782943697,0.0356816312224377,0.048979559424105534,0.25609306332713255,-0.024379956684595916,-0.1691657419495329,0.10177644817987894,-0.3719214275106443,0.01858368476050326,-0.22788930113860262,-0.3582429728723095,0.11610908032883133,0.08885227935676884,0.34608554965007227,0.1874833313663299,-0.14019570662140893,-0.3693343596616545,-0.03265370776909762,0.1746685499170061,-0.12574833850092643,-0.19723889666441236,-0.22064102241478334,-0.1715824664715955,-0.17851428326427488,0.08398130727432812,0.3243493859213146,-0.2737362008216556,-0.088092893397824,-0.00956768326055335,-0.14491166964142554,-0.05989169150782264,0.22286103431270027,-0.058938147056735446,-0.2346497424690563,-0.044239539304268466,0.19328785401749965,-0.0550978729407951,-0.31337475608451454,-0.1067038119328847,0.2026355634552479,0.021237598093146626,-0.24837535795054386,-0.06720708554879556,-0.033262226277448015,0.13908892734657813,0.018249170058830144,-0.16777487516443734,-0.28549407612364663,0.12619351147805957,-0.20554749224761731,0.0320039164953404,-0.2728186486535895,-0.14492640102955523,-0.21155129991954577,-0.17638994694342497,0.01257697382005507,0.04344075737947131,-0.08158462890762175,-0.17792848560417318,0.0152758386683014,0.04338578418217359,0.075932338621789,0.18710365434082604,0.31589573187046444,-0.20389722950363715,0.17065439929657422,-0.071604726683581,-0.2394119942426724,0.1977337433694668,0.07557821890297087,-0.06467625252946063,-0.06085191609141577,0.09863765158670712,-0.30530755932863574,0.16008222988974402,0.1899355803870587
HALLMARK_ANGIOGENESIS,-0.23168927690954977,0.0385026972504704,0.044191395884314755,-0.0026114924423162322,0.4489773715686386,0.2852726801038599,0.1487715362489046,0.14186831486254114,-0.2149388703472987,0.12142884556834571,0.12545932703986995,-0.12396173342163094,-0.11033678979958825,0.3445132518592235,0.3019525582205145,-0.4352530794514944,0.14729478904188964,0.08727820183089396,-0.18427690242777875,0.4016494791200723,-0.0607117189862211,-0.3293800183202518,-0.2087724681404444,0.07920258207946376,-0.327024288099327,0.21606399457801195,-0.10864545358749202,-0.31365199585769893,-0.10383718065719183,-0.43995319056558985,-0.40002468151538995,0.07209530474195594,0.21478829531077964,0.12699657012234294,0.3840915989708778,-0.34756940125879343,-0.05460827321444994,0.0015990510469428565,-0.005748439263669164,-0.35936486968434034,0.2601703040434615,0.010809005085181567,0.22751816787384793,0.35451838617730086,0.4086455182803867,0.3788647792918406,-0.31478421113739374,0.0886945724946741,-0.4174305307447948,0.08597841684297969,-0.24393017193358263,0.122692956950336,0.38480183306632976,-0.4108554861126859,0.2622335001513936,-0.06104552290433918,0.2018453561853997,0.07464124781482265,-0.249263183213478,0.23072508830575256,-0.22221706222887272,0.11055405312378386,-0.24222442442037573,0.46397774743874026,0.06242469281316762,0.09118301670587933,-0.16651808170636007,-0.021525422834648034,-0.19716298009990046,-0.13037533425966835,0.0650013311885505,-0.30679752201868676,0.5133920376736972,-0.12184955644671286,0.3923116126451664,-0.28489101249279436,-0.21239947182164554,-0.16548108988577953,0.1666941520362954,-0.42021794792353373,0.11885765680389249,0.21292795680304555,-0.01500038069895454,-0.10922278665417973,0.011913254332525158,-0.054825220750676334
HALLMARK_APICAL_JUNCTION,0.020043952186966446,0.18030058383098332,-0.010913057560556272,-0.03436434096362351,0.3322568127864843,0.3007117077058652,-0.20095461939314477,-0.044769313794961046,-0.01940116906121475,0.169091523503005,0.016573718949563165,-0.05175124662373465,-0.2235179436835406,0.10988933735985135,-0.09471867667713454,-0.27650584196974315,0.22676758598000468,0.006903063320822356,-0.2678237309062249,0.16314288204490923,-0.28699035084764035,-0.2341858608834306,-0.19121311561567966,-0.02755249306923019,0.02237354821394999,0.05765388468530269,-0.37966339685651135,-0.1742695927689539,-0.15860628573448504,-0.3032724984003819,-0.20761542165622957,-0.10826734938423155,0.10988422436934109,0.177263487968085,0.07770501320122364,-0.2748670078015197,-0.15806801732674858,-0.24871250173586718,0.07881239314754318,0.25802902336263633,0.15880542103009226,0.020870166610115287,0.08374081347133072,0.22762531728478558,0.3075127504311798,0.08344641617652676,-0.24222991253851264,0.03953147321877962,-0.1713408948764935,0.001110851333517321,-0.07618592000225449,-0.032987509578486535,0.37376710057102613,-0.006613992306279237,0.018800359770768216,0.08082350533623947,0.03503278708230778,-6.327545104314325e-4,0.05027882170010092,-0.02564270514652839,-0.07412135507299186,0.01329139305935123,-0.004779794603695597,0.2671265190315886,0.047565203542826284,0.021654794376422953,-0.37506332333317266,0.12307995408847383,0.1092521312226177,-0.23185498020324205,0.16493189646104855,-0.25150837978252366,0.20003779390899634,-0.16314522317259045,-0.11747832648168843,-0.0717663903268278,-0.024385381364809944,-0.00647442790945818,-0.14275472462624314,-0.11690452817100663,0.16010537979530934,0.31846459611981304,0.08250545310853544,-0.2613515957966833,0.1376271896795972,0.019895698903285547
HALLMARK_APICAL_SURFACE,0.0695353916621202,0.2654417286132551,-0.061452176984157225,-0.1668364015140546,0.30403389463418506,0.391383121896282,0.032347714862028726,0.10751683629570849,-0.27121731716339914,-0.005325878534256201,0.21059527240373377,-0.2581650777714625,-0.37686006084691764,-0.10484492774769155,-0.0966982065321696,-0.14796474921608016,0.02423945725656032,-0.17538215555776115,-0.34735579152921825,-0.03347642187772057,-0.4149189879364623,-0.14993672332518265,-0.3305900376955007,0.021279425518311523,0.27075280879799385,0.02355933344166483,-0.3578274824268293,-0.26141862332671273,-0.29653842137538805,0.06437712863018047,-0.09823702539963636,0.09781342303496743,0.1722661692440881,0.2576320539368762,-0.12007454362751901,0.03297409980850857,-0.1408643626575205,-0.2189717066988084,0.25639765392423175,0.2502648473413298,0.18534511525707925,0.14118705920605787,0.26503709249601415,0.09127428755382438,0.4357332830375088,-0.059283726165866774,-0.19868326481673584,-0.30503690806223327,-0.023361599156422885,-0.013542524750427859,0.025124999175464735,0.07187464243718325,0.3304462996855635,0.16483676464752173,-0.14604487828288548,0.1595573767460764,-0.12089117930133142,-0.296423148460733,0.05522419571864878,0.09237007830285959,0.05825854627826044,-0.14766971523450664,-0.16311854530552028,0.3962610536854807,0.2313109353300452,0.02781759207568754,-0.13143953410572887,-0.10575896195017467,0.15573199353713707,-0.1162790714132213,-0.046140554330897116,0.15627602253566786,0.0967867275996751,-0.2009851962779477,0.008858888059945585,0.095580372622324,-0.10240961618926839,-0.0021500375454835408,-0.058440002397746826,-0.12263673238979014,0.12001560732227912,0.02129264950485718,0.08079969513529042,-0.24271430229364516,0.1909380688788953,0.052945972949920844
HALLMARK_APOPTOSIS,-0.034995219030460184,-0.048024591853569,-0.09904701926706744,-0.12094810541697143,0.4130208635754743,0.19799615112263214,0.0511512384943526,-0.1352154179875726,-0.21747485980445053,0.1486518574584425,-0.01133628088225963,-0.05985966994543429,-0.271998974852848,-0.07240810245644602,-0.3286436376600605,-0.3097824765355995,0.16191369211440287,-0.2573763279313257,-0.11604758040778673,0.21465637727982761,-0.26827761987449633,-0.14443827820136435,0.10745020524144419,0.1302180192723243,0.08224145537344396,-0.007280250638462354,-0.3059852128631356,-0.09591875997734373,0.221808067324535,-0.38000179218025953,-0.400558022231007,-0.03783264506198261,-0.013355509340071015,0.09730041474083223,-0.05847879371945955,0.12656176862895713,-0.08953664813355233,-0.3374852168186997,0.02344819517541291,0.1265533672932786,0.1257432882964048,0.1084987806130131,-0.21362277169389632,0.06965896970491298,0.11304302822314982,0.24673252329503015,-0.18972664362544875,-0.37815829307121795,-0.16510657335761092,0.19119635700999632,-0.09414392436039642,-0.1839042407521461,0.3015708634343458,-0.17815133901625138,0.031467844967521946,0.12926581711331586,0.13946610334997195,0.07240880512504977,0.011127363173865146,0.2045397211066407,-0.052030928272088106,-0.08514402223667254,-0.07624614142546689,0.16366880690363406,0.13799153330148484,0.20321018548511544,-0.28965380607851565,0.1572164300085913,-0.11518470751877835,-0.08298310539592124,-0.0035900469594867257,-0.10251426313180967,0.04052819965421456,-0.08816613099354209,-0.1650742586812727,-0.02665301805838055,0.05215276551944331,-0.08080250376112286,0.09953542337964177,-0.020211256974221936,0.02197763967928973,0.19906110798183219,0.16746152387086544,-0.39465011297558283,0.14150724603854903,0.17623461958342984
HALLMARK_BILE_ACID_METABOLISM,0.28013339357265293,-0.18050144356745923,0.08275095965796292,0.03755654947224801,0.328314707905635,-0.2068959022549795,0.05430048582185509,0.16526196506898067,-0.3425098887807925,-0.05466912890375536,0.2725653027667161,-0.07901859553100088,0.148673197238611,-0.039817423857300166,-0.06851505065253083,0.16437366402657777,0.12243857911257033,0.20098919511744745,-0.19868566266892043,-0.23298808903750998,-0.31902012377888667,0.16840745762439133,0.1724221411303043,0.019070423557687205,-0.01168035551327426,-0.10760292669183047,-0.08807452628381668,-0.24404114955779058,0.1618592186456859,-0.06480406971378436,0.07749633804670503,0.3550148322395711,-0.019488424949696687,-0.16771512989574852,0.07724408750083553,0.16010111443580227,0.23927359928332964,-0.1948009164057623,-0.08892841735584897,-0.3364958821837457,-0.10877129236057481,0.08604441361733356,-0.10268793295110629,-0.30494463372273306,-0.04148807503885543,0.03200678672039364,0.17559865772783206,-0.16747842145831016,-0.19991870192266123,-0.06920490678595254,0.19789720079224216,-0.08383983835748426,-0.1493956851750372,0.20196774770235193,0.03436005973341755,-0.26915232619822377,0.045931987970647625,-0.1440503395364226,0.3231124990846354,0.145984071123888,0.33632947060925267,0.0032406244331516787,0.12892311535716447,-0.08881817637406528,0.07268433748715059,0.1800364082192118,0.08692240711543409,-0.2946714529893884,-0.051128850653711755,0.31821981317613784,-0.22257752156347554,0.24294725272465484,-0.007733268734557819,0.22046425641201467,-0.1800893420501522,-0.020477174271549714,0.24725589611665932,-0.13122253755294933,-0.2606986889258648,0.14911035557286828,-0.05027167714580161,-0.10472328749540205,0.2450418469993122,-0.10179828860323792,-0.15416696100848976,-0.051009321659731766
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.018948628151337077,-0.2550762320250492,0.427407134263752,-0.06832662822284624,0.3965341765984743,-0.19876042145760986,0.14500082404170667,0.06577184574836925,-0.30166437277168917,0.15207794903609284,0.219359684827035,-0.1898114794602801,-0.3269162633166109,-0.023118181252897246,-0.3183743667318759,0.009864205649455449,0.07372965139574111,-0.34013031061129817,-0.03668084753974743,-0.35271201127345375,-0.522972026151428,0.23344574450145023,-0.005936573471887807,0.4596791298348514,0.04946929592220245,-0.43439571522342335,-0.3092052287011522,-0.16233029122204778,-0.10672361317968465,0.028949674365887745,-0.008627695834230537,0.14710584554687695,-0.20864074280126232,-0.027974912637279276,0.13222605574063517,0.3028966840002272,0.2140007387722258,-0.49255855534806736,0.22208623096853913,-0.28788413272310837,-0.330325412592952,0.18395865155110225,-0.03557258416298131,-0.4206168937776787,0.11461188049269638,0.2082263705676453,0.19455674027578673,-0.42800578741704975,0.015392142453465901,0.24334879927174502,-0.18644447007331694,-0.18650425548140903,0.09453293228100185,0.17876995022435715,0.3570778847299658,-0.449895958186439,-0.13130251550484145,-0.31783048998794544,0.3478333165108684,0.2948841746381501,-0.12279279138081392,-0.31063142725888465,0.013691111565931668,-0.17551998243881128,-0.06072973386962305,0.1798046714840389,-0.3015038685507254,-0.30692840812321853,-0.3772124970556662,0.42277544286862634,0.060376262603970166,0.37244297620411093,0.0640879622076865,-0.055507643029975795,-0.3562953851290988,0.31626131418657444,-0.3282032989422765,-0.39463606038288646,-0.09755079583865808,0.20690587904173002,0.35874389685974595,-0.007230269433328801,0.44405999715910666,-0.24578008280172853,0.40467506728628677,-0.0314787261991592
HALLMARK_COAGULATION,-0.013825453455884124,0.05264962262502282,-0.15680365823012507,-0.1336306689558221,0.44993072498890624,0.2747569393244581,-0.1633641984694467,0.16380744938662442,-0.29254670401191946,0.25541452180205176,0.21989885158772415,-0.11194676543533971,-0.06393700225714505,0.16677401715765983,-0.16483554781885673,-0.3018673833410557,0.3270484959928916,0.045843785248294966,-0.20474797423997504,0.04627130284912065,-0.30439461922195926,-0.07971974034590837,-0.07557438876432884,0.16087233047624977,-0.21062022934732072,0.31458482287782835,-0.1318692573639958,-0.368113309758532,-0.1625038617125681,-0.3729387796502738,-0.3918251217847831,0.17632053166871764,0.12101716467324944,0.33797384626147897,0.23944588230871355,-0.254071152775987,0.14271997841996523,-0.333017802342111,0.012955302044241612,-0.08097183815000106,0.09458607649025086,0.09909747240320421,0.1862900565824297,0.05802413757567859,0.3953632535726415,0.28229909165461275,-0.27685021920424246,-0.19020409143553796,-0.22951590354307846,0.06726458341766028,-0.057859205642049494,-0.03857994137201448,0.3587202707616813,-0.2455602968272292,-0.08230578820561965,-0.05052118635051911,0.13103902488597075,-0.009541672425311842,0.12276018657456991,0.3345450110060013,-0.03231591490285879,0.053637958146941556,-0.02042542766466829,0.3389473675552177,0.20132409769580994,-0.08872254769172588,-0.1520274868868597,-7.146029501191031e-4,-0.11304915927650144,-0.029291286899715246,0.1704597088414162,-0.271678861763544,0.3192708201574362,0.005241007689227473,-0.07886251351860335,-0.20774023754672502,0.05705803088772293,-0.1266937231418918,-0.1116184768487819,-0.12737356679513162,0.07089340710684605,0.21886425212674754,0.33199061862041684,-0.3173505969030186,0.12306535243290528,0.12564540646141714
